ASVid,Group_type,Group,Domain,Stat,phylum,class,order,family,genus,species,TrophicMode
07a93fa52bbc3813958c2bf0156830eb,Plant species,Festuca,Bacteria,0.417028828,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Unassigned,
f745136a5fb1d91586bee624d0332e9d,Plant species,Festuca,Bacteria,0.282329851,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,A0839,Unassigned,
bf509b8b1f26a9105efd436492b70662,Plant species,Festuca,Bacteria,0.440198632,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unassigned,
e8555f155ebd2b3e844d81c539864259,Plant species,Festuca,Bacteria,0.294883912,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,Planctomycetia_bacterium,
fbbee262ee3035c0303798b848b3f6aa,Plant species,Lolium,Bacteria,0.266311821,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassigned,
2513c6298bf7371347f47e440ed049c4,Plant species,Festuca,Bacteria,0.375489914,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Unassigned,Unassigned,
e04c06877a6a331823e336808427591a,Plant species,Lolium,Bacteria,0.347228132,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Unassigned,Unassigned,
1e6569f36d5d9140ff4074c4eee4b8c6,Plant species,Festuca,Bacteria,0.282329851,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,Unassigned,
86dd893bd60570b5a1b3afdc853c103a,Plant species,Festuca,Bacteria,0.477188411,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,uncultured_bacterium,
b29a5e63369f4945bd0b1574b229a14f,Plant species,Festuca,Bacteria,0.333368441,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Unassigned,
531c6ee254022132ffd9ce1146d358bf,Plant species,Festuca,Bacteria,0.4206592,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,Unassigned,
7f0b033f6e70cdf460b959f9d2c5a494,Plant species,Festuca,Bacteria,0.295985239,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Unassigned,
c648425cf36fa60173d1d4d8ffab72f0,Plant species,Festuca,Bacteria,0.488631329,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,metagenome,
7dc6ce08142e53cc4aa8bfd170ddfe53,Plant species,Festuca,Bacteria,0.255376959,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,uncultured_Acidobacteriales,
0debe48f888a3afb09b4aa93fb4b7369,Plant species,Festuca,Bacteria,0.294883912,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Lechevalieria,Unassigned,
2fc95471b3321d7c1579b9eadd59749c,Plant species,Festuca,Bacteria,0.450177268,Firmicutes,Bacilli,Entomoplasmatales,type_III,type_III,uncultured_Mollicutes,
a5e73b6c283843916335b65f5e074e27,Plant species,Festuca,Bacteria,0.394273409,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,Unassigned,
6abe0212088948f3d59a7fef34b91d2d,Plant species,Festuca,Bacteria,0.537654477,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,metagenome,
f1b242a96c59ed0b4fa4e2fa65a10b0c,Plant species,Festuca,Bacteria,0.376694025,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,Unassigned,
59578be5df1977ea5176e3b41ca70425,Plant species,Festuca,Bacteria,0.336566429,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured,Unassigned,
c69332c1a40ed97f1fadf17ad39d60b0,Plant species,Festuca,Bacteria,0.4153947,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,metagenome,
621597050057f8876d4df191c0b9aa83,Plant species,Lolium,Bacteria,0.423862715,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,uncultured,metagenome,
fb10b979a44125b9d0f21286637d4c49,Plant species,Festuca,Bacteria,0.284953617,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,uncultured_Pasteuria,
ce03f7dd3b3f5a575df8d0dc49bf5b8b,Plant species,Lolium,Bacteria,0.694451318,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unassigned,
5caee233d02d0187cb9f52ad31062244,Plant species,Festuca,Bacteria,0.48887758,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,metagenome,
8b5903a20967fab543474efe236a46fb,Plant species,Festuca,Bacteria,0.437909543,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,metagenome,
c0f291ac6474b318c7f877186534b9ee,Plant species,Festuca,Bacteria,0.445965126,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,FFCH7168,uncultured_bacterium,
05066ba8db30b38b9d23cb70e0587145,Plant species,Festuca,Bacteria,0.255376959,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,uncultured_Acidobacteria,
66a9896c4a7399a6b8e658b8224244b7,Plant species,Festuca,Bacteria,0.452570784,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Unassigned,Unassigned,
103f3817ba2d6c426014539a01fdd12c,Plant species,Lolium,Bacteria,0.360802657,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,Unassigned,
049b16385868428317e8170108917f23,Plant species,Lolium,Bacteria,0.279310194,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Unassigned,Unassigned,
a2c16e24442980ff2174d8d4246f5200,Plant species,Lolium,Bacteria,0.352253751,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Microcoleus_SAG_1449-1a,Oscillatoriales_cyanobacterium,
41a2c20c95a54dbb5cbf19d43d8e2b49,Plant species,Festuca,Bacteria,0.337099648,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Unassigned,
a4013f42cdf9550c7d4e74cf4a2d22ed,Plant species,Festuca,Bacteria,0.527337027,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,Unassigned,
49ecbb4ac5e0b7668adc0697d518a565,Plant species,Festuca,Bacteria,0.3052218,Patescibacteria,Saccharimonadia,Saccharimonadales,S32,TM7,uncultured_bacterium,
d8e4d62cad50531a433fece90ca6ee2d,Plant species,Festuca,Bacteria,0.420401421,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,Unassigned,
57a28bde06a480e80d361d2173bfaa36,Plant species,Festuca,Bacteria,0.45734342,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,Unassigned,
b5246bd0f2d5f87b60114abb1b9e818e,Plant species,Lolium,Bacteria,0.520854419,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Unassigned,
ef6028baac38c44a9a58eb2574528c25,Plant species,Festuca,Bacteria,0.475753942,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Unassigned,
7a7445636a2f501a63b12ea5847f2964,Plant species,Festuca,Bacteria,0.493643779,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,uncultured_soil,
a3271138a5a5da4097b8dbeb2efe0ff5,Plant species,Festuca,Bacteria,0.434382253,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,uncultured_bacterium,
783e59dba57f519374feb212243aae5d,Plant species,Festuca,Bacteria,0.487528981,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter,Unassigned,
7ea9bdddb70591c89d071e8343aa8bc1,Plant species,Festuca,Bacteria,0.435534115,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,uncultured_Gemmatimonadetes,
7fbfd622f96e3fbe5ffccbc5ad90a661,Plant species,Festuca,Bacteria,0.46764448,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,Unassigned,
a52e8c80b361fb63eb609ce716874484,Plant species,Festuca,Bacteria,0.412024393,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured_Chitinophagaceae,
36465cc3efecb0c2c7841e51d59ba66b,Plant species,Festuca,Bacteria,0.41475515,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Unassigned,
5d3b4bc9efde8201a6d8737aeefdca44,Plant species,Festuca,Bacteria,0.4131934,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,uncultured_bacterium,
e2d52b712e1c058d934c02ceeb5ea075,Plant species,Festuca,Bacteria,0.591885062,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Unassigned,
e747efbe8039bd044af61c4d9e4807ec,Plant species,Festuca,Bacteria,0.320389046,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,Unassigned,
811737b9bdcb9d5a56fc7dc0c023e17a,Plant species,Festuca,Bacteria,0.371456627,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,metagenome,
d8c53d7c79539bb984c399abe9be1255,Plant species,Festuca,Bacteria,0.350982059,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Unassigned,
39b1f7e3181d3b9b3b683910ddd537c4,Plant species,Festuca,Bacteria,0.418932104,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,uncultured_bacterium,
42a9b98bad0789d9a63d2645f15349eb,Plant species,Festuca,Bacteria,0.386419452,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unassigned,Unassigned,
cee510edb4786b509f16d026179729d5,Plant species,Lolium,Bacteria,0.406765404,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,metagenome,
8f836662d6ee751abb3386c96150d26e,Plant species,Festuca,Bacteria,0.265001864,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,Unassigned,
4a76f4025b43ea91b43bca9635f1dc98,Plant species,Festuca,Bacteria,0.362940058,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis,uncultured_bacterium,
0b2d5fb548adeb0286bb9b0505930110,Plant species,Festuca,Bacteria,0.41287701,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,uncultured_bacterium,
070d8c3230df91334fec8fc731c6cec7,Plant species,Festuca,Bacteria,0.382429044,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,LWQ8,uncultured_bacterium,
dddb85b3ef5110c652d02a8dfc3ee9f2,Plant species,Festuca,Bacteria,0.335163613,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,Unassigned,
4274752ee53698da60a98dd050155c88,Plant species,Festuca,Bacteria,0.361157559,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,Unassigned,
49ab7e366d589188a337ea9aa24a4add,Plant species,Festuca,Bacteria,0.290278258,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,metagenome,
edb0d33bc669f2b079c90d45909695a7,Plant species,Festuca,Bacteria,0.465946048,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,uncultured_soil,
3d63ffa7320ae1b5cb6870da196e71ac,Plant species,Festuca,Bacteria,0.282329851,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,uncultured_soil,
29ae16189f21a8afcac240290f0c1aab,Plant species,Festuca,Bacteria,0.475927501,Actinobacteriota,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,uncultured_bacterium,
1fc9c7f36533438fbabf87033542f254,Plant species,Festuca,Bacteria,0.458667297,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,uncultured_bacterium,
78ff1516d178144ff9b28d16a0431a63,Plant species,Festuca,Bacteria,0.458415671,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,Unassigned,
695becffc5a4b9fd7292088b2d0867be,Plant species,Festuca,Bacteria,0.319619573,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured_soil,
b1c816259ea950f215e603c556628f14,Plant species,Festuca,Fungi,0.478713554,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
ffb068ca118fed9e7d4e06f42b0dec08,Plant species,Lolium,Fungi,0.440314481,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
4293f61a1443e7dd4fcb6e45b688f30f,Plant species,Lolium,Fungi,0.397003345,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
0b25cd98148e6a8d1c0c887dedffa02d,Plant species,Lolium,Fungi,0.451170995,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
440a619a9d4b073a87d889024bc851c8,Plant species,Lolium,Fungi,0.612372436,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
3bb103a3bba6c28beacaf7f8bcbd58c6,Plant species,Festuca,Fungi,0.288675135,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
425e9e707f374ca9ba8886a9ee40b13f,Plant species,Lolium,Fungi,0.401563521,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
977f17a22f157e57b025e69ab5a5e522,Plant species,Lolium,Fungi,0.372677996,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Unassigned,Saprotroph-Symbiotroph
d72b1dc7dd12baf52a5f80b57221b223,Plant species,Lolium,Fungi,0.352259335,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
82b5ccdf053a03360a7444bffb2b21ed,Plant species,Lolium,Fungi,0.300462606,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,Blumeria_graminis,Pathotroph
7e7c6ffb27cf293b5a77b8626188f481,Plant species,Lolium,Fungi,0.847561311,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleosporaceae_gen_Incertae_sedis,Pleosporaceae_sp,Pathotroph-Saprotroph
2252bfa1169989c6369588c8878bb820,Plant species,Festuca,Fungi,0.263523138,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Dothideomycetes_fam_Incertae_sedis,Radulidium,Radulidium_subulatum,Pathotroph-Saprotroph
2e110bed7695b62274a73b124517f4c8,Plant species,Festuca,Fungi,0.343592135,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
08b37f86aaadb3803e7346483622bc91,Plant species,Lolium,Fungi,0.351156391,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Rodwayella,Rodwayella_sp,Saprotroph
7c6ccd98c00d7d6e5d3a97a854404d4e,Plant species,Lolium,Fungi,0.371937128,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
47c5739b462d08c1fbe2addf7c15afc9,Plant species,Festuca,Fungi,0.300462606,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
2ebaed65ed5ad7dc91ab17871ab9af16,Plant species,Lolium,Fungi,0.401949932,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
dccffbbc1de9fd077711206d6ee0db3d,Plant species,Festuca,Fungi,0.589255651,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Unassigned,Pathotroph-Saprotroph-Symbiotroph
79b7e46099c790fb14408e69971eaa19,Plant species,Festuca,Fungi,0.322748612,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_sp,Pathotroph-Saprotroph-Symbiotroph
3415f54be1bd69b528571c83bb03f1c0,Plant species,Festuca,Fungi,0.381881308,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_sp,Pathotroph-Saprotroph-Symbiotroph
dfed8111f4b13e41bdb1c371c0a1e56e,Plant species,Lolium,Fungi,0.436844747,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Unknow
4449f2fc6cf54b6da4fc56fe236bdcd6,Plant species,Lolium,Fungi,0.544158333,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,Cistella_sp,Saprotroph-Symbiotroph
117996d9f02edc68f2a2f4963f4de4cb,Plant species,Lolium,Fungi,0.525041421,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
91fae93143546b4385175dc715a2aca0,Plant species,Lolium,Fungi,0.343592135,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Unassigned,Unassigned,Unknow
9cbe32489b731569b9d5e135b083ce62,Plant species,Lolium,Fungi,0.498118156,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Unknow
13b55c3cdabf1b3e809c370a7101585e,Plant species,Festuca,Fungi,0.343209089,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
e5b032fd9b82819fed8156574e59ffa9,Plant species,Lolium,Fungi,0.658914992,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
e039f3aa236e9bf671d0b010713a1b08,Plant species,Lolium,Fungi,0.386762986,Ascomycota,Lecanoromycetes,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
792a686638e79b7fd249e31687b3cb42,Plant species,Festuca,Fungi,0.454469626,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Unknow
18841047c05f8b2c62f500fa6ba097d4,Plant species,Lolium,Fungi,0.340884183,Ascomycota,Leotiomycetes,Leotiomycetes_ord_Incertae_sedis,Leotiomycetes_fam_Incertae_sedis,Leotiomycetes_gen_Incertae_sedis,Leotiomycetes_sp,Unknow
2938e1fa3ebf469d829fde7e16a35902,Plant species,Lolium,Fungi,0.370328339,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
07a82f09889b1bd56c90da103f603d36,Plant species,Festuca,Fungi,0.466745767,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
ef01064f471d822eb4ef123ec5d11edc,Plant species,Lolium,Fungi,0.343592135,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,Tetracladium_sp,Saprotroph
2c0b66a530ceea45231345494409ea9c,Plant species,Lolium,Fungi,0.368667717,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Setophoma_sp,Pathotroph-Saprotroph
7a667bddd463d6750935b1ed1ade3f8a,Plant species,Lolium,Fungi,0.486326101,Basidiomycota,Cystobasidiomycetes,Sakaguchiales,Sakaguchiaceae,Sakaguchia,Sakaguchia_sp,Saprotroph
efe88fffb774b500bf1e8cd94fe2536b,Plant species,Lolium,Fungi,0.512240616,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Chaetothyriales_gen_Incertae_sedis,Chaetothyriales_sp,Unknow
03f58124fd893e19cdf8bc3cf71601dc,Plant species,Lolium,Fungi,0.322748612,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Clarireedia,Clarireedia_bennettii,Pathotroph
6c8e1733bdeb0cd61765c25b3f9b9c34,Plant species,Lolium,Fungi,0.311804782,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Sordariales_gen_Incertae_sedis,Sordariales_sp,Unknow
82606b77e5c39729925fd22671bec650,Plant species,Lolium,Fungi,0.34126267,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,Podospora_sp,Unknow
cc16c6c10d008f2dfe6b59b288d5cf16,Plant species,Lolium,Fungi,0.311804782,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Sordariomycetes_fam_Incertae_sedis,Sordariomycetes_gen_Incertae_sedis,Sordariomycetes_sp,Unknow
378d59872ca4117f6a57f868cb4b588b,Plant species,Lolium,Fungi,0.381881308,Unassigned,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Unknow
0e1ee82bbd470e8a5c8af9b325b0991b,Plant species,Lolium,Fungi,0.406034261,Ascomycota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unknow
8801e4d9923f31704bdd29db3d6e0446,Plant species,Lolium,Fungi,0.588106523,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Slopeiomyces,Slopeiomyces_cylindrosporus,Symbiotroph
4aee8dd63a71aaff54510fb9fcd58e83,Plant species,Festuca,Fungi,0.421060621,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Unknow
d2729152a1b9cfd59d00e92cb6dfefcd,Plant species,Lolium,Fungi,0.353553391,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_sp,Saprotroph
5f02cb339a35212b07f114121e303050,Plant species,Lolium,Fungi,0.263523138,Ascomycota,Eurotiomycetes,Chaetothyriales,Unassigned,Unassigned,Unassigned,Unknow
b0322404cd637eec095b7ead31a46b6c,Plant species,Lolium,Fungi,0.447273316,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Unknow
a39fc6c7f839aa61ba3d4ad2355f110b,Plant species,Lolium,Fungi,0.592610625,Ascomycota,Sordariomycetes,Sordariales,Unassigned,Unassigned,Unassigned,Unknow
01999fe288b392b936c54bef456e91f5,Plant species,Lolium,Fungi,0.333333333,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Sordariales_gen_Incertae_sedis,Sordariales_sp,Unknow
6da04a713f7ec2b2037a27101b53039e,Plant species,Lolium,Fungi,0.40824829,Basidiomycota,Pucciniomycetes,Platygloeales,Eocronartiaceae,Eocronartium,Eocronartium_sp,Pathotroph
c9b7095c64de1315294763463fd08f0d,Plant species,Festuca,Fungi,0.389869593,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Unknow
f0e380533da96ffc91a3505520707409,Plant species,Festuca,Fungi,0.322748612,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,Pyrenochaeta_sp,Pathotroph-Saprotroph
572734bf5c788052884eb153ac4b9a87,Plant species,Lolium,Fungi,0.381881308,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_sp,Pathotroph-Saprotroph-Symbiotroph
964fc1283f5ef6737615e01f9f5dda79,Plant species,Lolium,Fungi,0.372677996,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,Unknow
a359c09199a23de09c4b36e12440c0d4,Plant species,Festuca,Fungi,0.598297098,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_sp,Pathotroph-Saprotroph
01aa8a61fad1a078cdac911460ceb8c0,Plant species,Lolium,Fungi,0.387028819,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Sordariales_gen_Incertae_sedis,Sordariales_sp,Unknow
